;cadaster;hour;predicted_throttle;actual_throttle
0;79510:033:0012;12;14.155;7.81
0;79510:033:0012;13;0;0
0;79510:033:0012;14;24.237;21.088
0;79510:033:0012;15;2.988;0
0;79510:033:0012;16;14.659;17.825
0;79510:033:0012;17;16.737;13.993
0;79510:033:0012;18;10.157;8.976
0;79510:033:0012;19;0;0
0;79510:033:0012;20;3.606;12.744
0;79510:033:0012;21;2.98;1.247
0;79510:033:0012;22;0;0
0;79510:033:0012;23;6.182;3.254
0;79509:019:0001;0;0.326;7.445
0;79509:019:0001;1;0;0
0;79509:019:0001;2;0;0
0;79509:019:0001;3;0;0
0;79509:019:0001;4;0;0
0;79509:019:0001;5;0;0
0;79509:019:0001;6;0;0
0;79509:019:0001;7;0;0
0;79509:019:0001;8;0;0
0;79509:019:0001;9;0;0
0;79509:019:0001;10;0;0
0;79509:019:0001;11;0;0
0;79509:019:0001;12;0;0
0;79509:019:0001;13;0;0
0;79509:019:0001;14;0;0
0;79509:019:0001;15;0;0
0;79509:019:0001;16;0;0
0;79509:019:0001;17;0;0
0;79509:019:0001;18;1.159;3.303
0;79509:019:0001;19;0;0
0;79509:019:0001;20;1.552;5.578
0;79509:019:0001;21;0;0
0;79509:019:0001;22;0.848;1.355
0;79509:019:0001;23;0;0
0;79510:022:0016;0;32.534;32.055
0;79510:022:0016;1;15.015;22.285
0;79510:022:0016;2;10.471;10.406
0;79510:022:0016;3;7.915;4.266
0;79510:022:0016;4;9.415;16.21
0;79510:022:0016;5;5.105;3.795
0;79510:022:0016;6;26.204;27.432
0;79510:022:0016;7;40.254;41.568
0;79510:022:0016;8;23.661;21.061
0;79510:022:0016;9;16.142;13.556
0;79510:022:0016;10;0;0
0;79510:022:0016;11;26.484;25.857
0;79510:022:0016;12;24.537;21.67
0;79510:022:0016;13;33.722;36.166
0;79510:022:0016;14;32.072;26.958
0;79510:022:0016;15;10.125;9.298
0;79510:022:0016;16;29.306;26.806
0;79510:022:0016;17;42.811;43.958
0;79510:022:0016;18;3.084;11.783
0;79510:022:0016;19;18.764;16.403
0;79510:022:0016;20;39.985;40.424
0;79510:022:0016;21;15.119;21.444
0;79510:022:0016;22;38.937;35.034
0;79510:022:0016;23;12.328;11.491
0;79510:035:0012;0;0;0
0;79510:035:0012;1;0;0
0;79510:035:0012;2;0;0
0;79510:035:0012;3;0;0
0;79510:035:0012;4;0;0
0;79510:035:0012;5;0;0
0;79510:035:0012;6;0;0
0;79510:035:0012;7;0;0
0;79510:035:0012;8;0;0
0;79510:035:0012;9;0;0
0;79510:035:0012;10;0;0
0;79510:035:0012;11;0;0
0;79510:035:0012;12;0;0
0;79510:035:0012;13;0;0
0;79510:035:0012;14;0;0
0;79510:035:0012;15;3.999;0
0;79510:035:0012;16;0;0
0;79510:035:0012;17;0;0
0;79510:035:0012;18;0;0
0;79510:035:0012;19;0;0
0;79510:035:0012;20;0;0
0;79510:035:0012;21;0;0
0;79510:035:0012;22;0;0
0;79510:035:0012;23;0;0
