;cadaster;hour;predicted_throttle;actual_throttle
0;79301:001:0667;20;0;0
0;79301:001:0667;21;0;0
0;79301:001:0667;22;0;0
0;79301:001:0667;23;0;0
0;79511:003:0022;0;0;0
0;79511:003:0022;1;0;0
0;79511:003:0022;2;0;0
0;79511:003:0022;3;0;0
0;79511:003:0022;4;0;0
0;79511:003:0022;5;0;0
0;79511:003:0022;6;0;0
0;79511:003:0022;7;0;0
0;79511:003:0022;8;0;0
0;79511:003:0022;9;0;0
0;79511:003:0022;10;0;0
0;79511:003:0022;11;0;0
0;79511:003:0022;12;0;0
0;79511:003:0022;13;0;0
0;79511:003:0022;14;0;0
0;79511:003:0022;15;0;0
0;79511:003:0022;16;0;0
0;79511:003:0022;17;0;0
0;79511:003:0022;18;0;0
0;79511:003:0022;19;0;0
0;79511:003:0022;20;0;0
0;79511:003:0022;21;0;0
0;79511:003:0022;22;0;0
0;79511:003:0022;23;0;0
0;79517:053:0014;0;0;1.334
0;79517:053:0014;1;0;0
0;79517:053:0014;2;0;4.944
0;79517:053:0014;3;0;0
0;79517:053:0014;4;0;0
0;79517:053:0014;5;0;0
0;79517:053:0014;6;0;0
0;79517:053:0014;7;0;0.199
0;79517:053:0014;8;0;0
0;79517:053:0014;9;3.071;0.736
0;79517:053:0014;10;3.616;0
0;79517:053:0014;11;0;3.439
0;79517:053:0014;12;0;0
0;79517:053:0014;13;0;0
0;79517:053:0014;14;0.474;0
0;79517:053:0014;15;0;1.299
0;79517:053:0014;16;0;0
0;79517:053:0014;17;0.55;0
0;79517:053:0014;18;0;0
0;79517:053:0014;19;0.24;0
0;79517:053:0014;20;0;0
0;79517:053:0014;21;0;0
0;79517:053:0014;22;0.236;0
0;79517:053:0014;23;0;3.143
0;79504:078:0015;0;0;0
0;79504:078:0015;1;0;0
0;79504:078:0015;2;0;0
0;79504:078:0015;3;0;0
0;79504:078:0015;4;0;0
0;79504:078:0015;5;0;0
0;79504:078:0015;6;0;0
0;79504:078:0015;7;1.699;6.726
0;79504:078:0015;8;0.185;1.387
0;79504:078:0015;9;13.472;21.215
0;79504:078:0015;10;6.633;17.107
0;79504:078:0015;11;0;0
0;79504:078:0015;12;2.996;4.411
0;79504:078:0015;13;0;3.166
0;79504:078:0015;14;0;0
0;79504:078:0015;15;3.775;11.726
0;79504:078:0015;16;1.145;0
0;79504:078:0015;17;2.203;4.111
0;79504:078:0015;18;0;0
0;79504:078:0015;19;0;0
0;79504:078:0015;20;0;0
0;79504:078:0015;21;0;0
0;79504:078:0015;22;0;0
0;79504:078:0015;23;0;0
0;79517:065:0006;0;1.344;8.741
0;79517:065:0006;1;0;0
0;79517:065:0006;2;0;0
0;79517:065:0006;3;0;0
0;79517:065:0006;4;0;0
0;79517:065:0006;5;0;0
0;79517:065:0006;6;0;0
0;79517:065:0006;7;0;0
0;79517:065:0006;8;0;0
0;79517:065:0006;9;0;0
0;79517:065:0006;10;0;0
0;79517:065:0006;11;0;0
0;79517:065:0006;12;0;0
0;79517:065:0006;13;0;0
0;79517:065:0006;14;0;0
0;79517:065:0006;15;0;0
0;79517:065:0006;16;0;0
0;79517:065:0006;17;0;0
0;79517:065:0006;18;0;7.027
0;79517:065:0006;19;0;0
0;79517:065:0006;20;0.599;0
0;79517:065:0006;21;0;0
0;79517:065:0006;22;0;2.371
0;79517:065:0006;23;0;0
0;79505:005:0079;0;0;0
0;79505:005:0079;1;0;0
0;79505:005:0079;2;0;0
0;79505:005:0079;3;0;0
0;79505:005:0079;4;0;0
0;79505:005:0079;5;0;0
0;79505:005:0079;6;0;0
0;79505:005:0079;7;0;0
0;79505:005:0079;8;0;0
0;79505:005:0079;9;14.369;19.578
0;79505:005:0079;10;0;0
0;79505:005:0079;11;0;0
0;79505:005:0079;12;0;0
0;79505:005:0079;13;0;0
0;79505:005:0079;14;31.206;29.191
0;79505:005:0079;15;4.843;0
0;79505:005:0079;16;4.502;9.837
0;79505:005:0079;17;0;0
0;79505:005:0079;18;26.481;29.684
0;79505:005:0079;19;0;0
0;79505:005:0079;20;0;0
0;79505:005:0079;21;0;0
0;79505:005:0079;22;0;0
0;79505:005:0079;23;5.147;0.954
0;79512:038:0010;0;0;0
0;79512:038:0010;1;0;0
0;79512:038:0010;2;0;0
0;79512:038:0010;3;0;0
0;79512:038:0010;4;0;0
0;79512:038:0010;5;0;0
0;79512:038:0010;6;0;0
0;79512:038:0010;7;0;0
0;79512:038:0010;8;0;0
0;79512:038:0010;9;0;0
0;79512:038:0010;10;0;0
0;79512:038:0010;11;0;0
0;79512:038:0010;12;0;0
0;79512:038:0010;13;0;0
0;79512:038:0010;14;0;0
0;79512:038:0010;15;0;0
0;79512:038:0010;16;0;0
0;79512:038:0010;17;0;0
0;79512:038:0010;18;0;0
0;79512:038:0010;19;0;0
0;79512:038:0010;20;0;0
0;79512:038:0010;21;0;0
0;79512:038:0010;22;0;0.459
0;79512:038:0010;23;0;0
0;79515:011:0052;0;8.072;9.203
0;79515:011:0052;1;7.178;8.028
0;79515:011:0052;2;2.873;3.289
0;79515:011:0052;3;1.953;2.197
0;79515:011:0052;4;2.152;2.178
0;79515:011:0052;5;0.382;0.462
0;79515:011:0052;6;4.693;4.923
0;79515:011:0052;7;5.089;5.682
0;79515:011:0052;8;3.18;3.435
0;79515:011:0052;9;9.391;10.049
0;79515:011:0052;10;4.42;5.33
0;79515:011:0052;11;6.324;6.996
0;79515:011:0052;12;5.285;5.703
