;cadaster;hour;index;x;address;total_chargers;max_current;latitude;y;public_chargers;longitude;home_chargers;ev_charging;baseload;predicted_throttle;actual_throttle;predicted_ev_charging
23;79510:029:0009;0;190;6470589.3500000015;37, Sepavälja, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50112, Eesti;3.0;100;58.3469945;658967.8900000006;2.0;26.716482334301077;1.0;16.5;77.97195061965637;0;0;27.561710001946288
24;79504:067:0004;0;14;6471417.440000001;51, Aardla, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50413, Eesti;5.0;160;58.35467795;658197.6499999985;1.0;26.703113399666638;4.0;38.1;32.902579961778976;0;0;27.561710001946288
25;79502:020:0001;0;4;6473499.420000003;4, Nisu, Veeriku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50407, Eesti;8.0;160;58.373693;657223.3400000036;1.0;26.6877573630542;7.0;34.2;58.16535272282543;0;0;27.561710001946288
26;79514:037:0108;0;161;6476815.239999997;24, Pootsmani, Ülejõe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51017, Eesti;4.0;100;58.40344705;657607.9299999997;0.0;26.69707559397219;4.0;67.7;59.26646255638262;0;6.742;27.561710001946288
27;79501:028:0018;0;5;6474221.57;35, Veski, Kesklinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51005, Eesti;5.0;160;58.379602500000004;658438.3500000015;2.0;26.70911565972222;3.0;30.3;134.4194303572206;0;0.944;27.561710001946288
28;79508:053:0001;0;173;6472878.949999997;88, Kalevi, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51013, Eesti;8.0;100;58.36716300000001;659988.0399999991;2.0;26.73460772788389;6.0;101.8;114.85399234526129;1.577;14.582;27.561710001946288
29;79509:025:0008;0;106;6470771.329999997;15, Kopli, Variku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50115, Eesti;2.0;100;58.348811;658583.3200000003;1.0;26.708916154605266;1.0;16.5;84.36309941741486;0;0.432;27.561710001946288
30;79504:044:0020;0;7;6472375.3599999985;15, Ränikivi, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50403, Eesti;8.0;60;58.362870799999996;658641.3999999985;1.0;26.71139425386149;7.0;94.2;54.697512569409255;0;11.112;27.561710001946288
31;79504:058:0032;0;30;6471979.510000003;64d, Tamme pst, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50405, Eesti;8.0;160;58.35974090000001;657934.0600000024;3.0;26.69869592000256;5.0;54.0;84.43941603767647;0;0;27.561710001946288
32;79301:001:0749;0;194;6475398.260000003;2a, Lubja, Ülejõe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50303, Eesti;5.0;100;58.39019575;658858.0799999982;2.0;26.716788361804;3.0;33.0;95.61885339926704;0.967;5.724;27.561710001946288
33;79510:033:0012;0;103;6470566.420000003;59B, Jalaka, Ropka tööstusrajoon, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50109, Eesti;2.0;100;58.3466595;659376.7199999988;1.0;26.722654;1.0;22.0;117.60530979506952;5.459;19.803;27.561710001946288
34;79509:019:0001;0;186;6470545.1400000015;37, Voolu, Variku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50115, Eesti;4.0;100;58.34661750000001;658217.0300000012;0.0;26.70265;4.0;72.6;57.18053726148307;0;7.445;27.561710001946288
35;79510:022:0016;0;80;6470989.73;12A, Sepa, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 96187, Eesti;2.0;100;58.350471;659324.7100000009;0.0;26.722082899823164;2.0;23.1;141.0106857217042;20.674;32.055;27.561710001946288
36;79510:035:0012;0;29;6471417.25;8, Sirbi kaar, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50112, Eesti;1.0;160;58.35404250000001;659540.1899999976;1.0;26.72585975;0.0;0.0;85.79153334631111;0;0;28.05382263411897
37;79301:001:0342;1;138;6474748.690000001;Juure, Jaamamõisa, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50705, Eesti;1.0;100;58.38325334486561;661646.7199999988;0.0;26.764144106876696;1.0;7.2;27.21990299587009;0;0;28.639388994009927
38;79502:019:0018;1;15;6473103.1499999985;33, Viljandi mnt, Maarjamõisa, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50412, Eesti;7.0;60;58.37012725;657342.6300000027;2.0;26.689522877738927;5.0;40.2;68.11097818142731;1.317;6.902;28.639388994009927
39;79512:032:0012;1;193;6475460.1400000015;68a/3, Puiestee, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50303, Eesti;1.0;160;58.3904625;659468.4900000021;1.0;26.727509059117647;0.0;0.0;24.38420355899347;0;0;27.358022642153973
40;79514:014:0021;1;168;6474849.440000001;16a, Roosi, Ülejõe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti;5.0;160;58.38504155;659676.1799999997;1.0;26.73064075000001;4.0;29.70000000000001;34.51570385182648;0;0;28.639388994009927
41;79507:022:0008;1;59;6474067.16;2, Juhan Liivi, Kesklinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51003, Eesti;5.0;160;58.378215;658809.6599999964;3.0;26.714904347516214;2.0;7.2;148.04686742210208;0;0;28.639388994009927
42;79509:013:0018;1;115;6470765.1000000015;21, Kopli, Variku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50115, Eesti;1.0;60;58.348794999999996;658458.1000000015;1.0;26.707048799157306;0.0;0.0;30.54250621893177;0;0;27.358022642153973
