;index;address;cadaster;latitude;longitude;x;y;max_current;public_chargers;home_chargers;0_x;1_x;2_x;3_x;4_x;5_x;6_x;7_x;8_x;9_x;10_x;11_x;12_x;13_x;14_x;15_x;16_x;17_x;18_x;19_x;20_x;21_x;22_x;23_x;0_y;1_y;2_y;3_y;4_y;5_y;6_y;7_y;8_y;9_y;10_y;11_y;12_y;13_y;14_y;15_y;16_y;17_y;18_y;19_y;20_y;21_y;22_y;23_y
24;138;Juure, Jaamamõisa, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50705, Eesti;79301:001:0342;58.38325334486561;26.764144106876696;6474748.690000001;661646.7199999988;100;0.0;1.0;7.2;7.2;0.0;0.0;7.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.2;7.2;0.0;0.0;43.0856894000376;27.219902995870086;37.22698489655832;33.587167970283474;30.53261073222857;38.31079691268106;50.487423708652756;47.21752050922132;43.57897377654256;45.74386222635585;36.197257863181655;45.50022778076657;41.82229440684907;48.75985513581832;39.381767828895036;41.94645966165809;48.407752891787844;48.19870029765469;46.375032364091474;48.143366909198896;42.328718895822355;35.826586344491744;48.37503513449196;42.896676221493976
16;15;33, Viljandi mnt, Maarjamõisa, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50412, Eesti;79502:019:0018;58.37012725;26.689522877738927;6473103.1499999985;657342.6300000027;60;2.0;5.0;84.2;40.2;33.0;22.0;0.0;38.5;0.0;0.0;0.0;45.7;66.0;0.0;44.0;0.0;22.0;0.0;22.0;23.7;7.2;67.7;0.0;55.0;23.7;7.2;79.99528264801364;68.11097818142731;48.46668603368922;70.91746516425451;43.575427328881396;41.01436366250951;75.95488120967421;53.692524927517155;93.09929769552393;70.62421349763291;72.38073474172597;71.29573170198442;74.26668035128644;62.56072242137704;63.12972179388564;71.45259018257819;80.78949105975397;78.60537361147409;83.27535337119599;69.29134053328042;87.29498047229998;90.9608756606414;68.54267597009938;73.09361349439011
8;193;68a/3, Puiestee, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50303, Eesti;79512:032:0012;58.3904625;26.727509059117647;6475460.1400000015;659468.4900000021;160;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.2;7.2;0.0;0.0;0.0;7.2;7.2;0.0;0.0;7.2;0.0;0.0;0.0;0.0;0.0;0.0;36.85945372019809;24.38420355899347;42.6598626441604;34.71499487509965;29.641593114439978;27.31841150822592;41.75950266135924;42.05495924002703;44.476428230891145;40.46227312117816;45.44799805299472;51.70003797206451;54.268804854401715;42.412901673762384;57.0;37.74956427759149;46.72366117025661;48.29040031395253;54.797778571700384;52.67107071257136;47.35062615764447;45.19985917986497;47.17382987239871;41.95725766467204
15;168;16a, Roosi, Ülejõe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti;79514:014:0021;58.38504155;26.73064075000001;6474849.440000001;659676.1799999997;160;1.0;4.0;51.7;29.700000000000003;23.1;6.6;6.6;0.0;0.0;7.2;0.0;6.6;23.7;6.6;16.5;23.1;13.8;6.6;23.7;6.6;0.0;0.0;28.6;51.7;0.0;0.0;25.561742233292247;34.51570385182648;42.75523611509212;34.533194010629764;34.194737939109174;32.276497064129245;52.20027341960949;57.0;57.0;50.79823964721109;39.64946882444506;39.67965743447834;43.21737951821029;43.78952287995367;42.744131986270816;55.933350406826236;44.871371009252435;48.399381262818345;52.2846458277725;43.269583055041046;44.91953099946984;37.37693752475976;36.10909831725833;45.30718267707021
12;59;2, Juhan Liivi, Kesklinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51003, Eesti;79507:022:0008;58.378215;26.714904347516214;6474067.16;658809.6599999964;160;3.0;2.0;13.8;7.2;0.0;6.6;6.6;13.8;0.0;0.0;44.0;50.6;22.0;28.6;50.6;23.1;60.5;28.6;23.1;0.0;0.0;0.0;13.8;0.0;6.6;0.0;152.55103502827512;148.04686742210208;96.8304839322285;146.92627786849187;137.21301106258002;86.85479793251545;139.9003871074359;139.28387624887642;140.45115955545202;173.29183612590958;142.48932845325768;168.8504148944686;159.01306274593702;159.63741462225076;164.05711049500738;122.49533231117157;178.33334752454698;147.73535362176932;163.16362763748742;167.41228497191818;165.00409454320368;161.25110616255614;172.17744440695503;155.87943552627345
32;115;21, Kopli, Variku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50115, Eesti;79509:013:0018;58.348794999999996;26.707048799157306;6470765.1000000015;658458.1000000015;60;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.2;13.2;6.6;6.6;0.0;6.6;6.6;0.0;6.6;0.0;0.0;0.0;0.0;0.0;0.0;29.107285172357024;30.542506218931774;31.146972791459604;35.846073497560894;41.790484630362094;36.01095638306523;33.576159300263384;54.01568494630771;42.89334004192086;46.291383766525925;50.737494857220575;41.575910110887655;54.05740381879065;50.02157222171049;46.280563626299255;52.503005787336356;42.34804322882636;44.74462111553353;45.37953010939199;48.98630022923139;56.0219451457531;43.06606589196986;42.91801655572593;35.819280842597244
9;110;18, Põhjatamme pst, Ihaste, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti;79517:025:0023;58.3475625;26.77592363542251;6470809.18;662517.6700000018;200;1.0;5.0;46.8;30.9;46.8;23.1;6.6;0.0;0.0;0.0;0.0;7.2;7.2;0.0;7.2;0.0;7.2;7.2;0.0;0.0;30.3;13.8;40.2;13.8;7.2;13.8;105.15928601838486;103.6094871430068;78.58414482580291;91.64218932023859;99.4731593541182;74.2999912920881;125.38438296954004;116.81119346673565;146.54611610724027;88.97108784389243;133.70759961431972;115.4149986625161;122.95397148715485;128.08343904319028;146.52217519090985;125.93994611604201;102.62875833856356;113.8488448585445;129.20246601994077;116.07216708076307;119.22451181090021;97.7423854512437;112.3997888980269;120.44455556879944
19;73;Ihaste sild, Idaringtee, Ropka tööstusrajoon, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti;79301:001:0667;58.34653220000001;26.760493586983472;6470565.41;661536.1700000018;200;0.0;1.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;22.0;0.0;22.0;43.10434501569298;35.215243159113435;30.613813527128443;25.596896247180236;36.774702581262304;35.48505145278147;37.529779786945404;33.508237407655315;34.58988191314191;39.78719690348186;48.14045520311578;47.57568214118921;45.46018156907821;46.327220955632065;49.109947181793096;37.847695199969756;47.8157559554864;46.957457514069844;41.096084779090646;49.08255086040501;37.23453872997653;48.919957579063045;50.142767868312205;39.298161712070595
0;134;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;79511:003:0022;58.35560415000001;26.7306968603538;6471601.920000003;659795.2100000009;200;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.5;0.0;0.0;0.0;0.0;0.0;0.0;16.5;16.5;0.0;0.0;0.0;0.0;0.0;0.0;98.99761173631506;104.89420721277081;85.21866127904856;98.94163795918509;79.88926703401472;64.51494339093759;127.97507983756752;117.77500422247576;120.75638862349379;111.92501211996063;116.77038977997492;98.52442391245614;100.98385451387965;116.21723404361872;114.83792674514481;135.77633488042784;122.85898732645748;118.59717512221295;103.09526480162121;129.3222069411909;90.30604086239373;82.19386927834215;107.58671350787131;102.11799286395085
31;105;16, Pallase pst, Ihaste, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti;79517:053:0014;58.35912775;26.7821625;6472095.690000001;662802.049999997;60;2.0;2.0;38.5;0.0;38.5;16.5;22.0;0.0;0.0;22.0;0.0;23.7;7.2;29.2;0.0;0.0;0.0;23.7;0.0;7.2;22.0;0.0;0.0;0.0;0.0;38.5;26.835890361309158;40.458040087458656;41.27667494557689;43.177419554352134;30.492514632563786;40.151640858821594;51.66300786502965;38.79464629360356;28.947239154817662;39.244072397535646;50.18239904943039;44.55566948898013;38.604363794456205;47.7801528698264;51.59317315387821;41.49565246241409;50.62187017476387;50.13350043415856;37.2287744453572;49.14316887408066;41.47096903419453;38.86256103413701;53.09263181621479;34.07289548529689
5;45;78, Ringtee, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50415, Eesti;79504:078:0015;58.35244895;26.689441815415076;6471234.3599999985;657403.6300000027;60;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.2;16.5;74.3;67.1;16.5;28.6;28.6;6.6;45.7;0.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;35.60132502219287;38.471706513089686;33.41899669957967;33.19947634494089;33.39342593570511;34.694927316335146;36.12089105684046;50.97725043908328;47.659592000274564;49.345939616371744;44.22060615772754;38.02296699152811;44.632769838206016;40.89908035966696;33.41301153384289;49.477264388983144;53.29999943165676;50.33394153503173;50.33859459945196;44.26845159676261;49.34391280107675;49.57500017161053;36.83637722747724;45.118591336398886
11;86;16, Hando Mugasto, Ihaste, Veibri küla, Luunja vald, Tartu maakond, 51011, Eesti;79517:065:0006;58.356512;26.78948536600059;6471847.190000001;663240.0099999979;60;0.0;2.0;38.5;16.5;16.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;16.5;22.0;16.5;38.98127302097643;40.465684058480676;25.716977662400193;33.667030894346475;35.931371892951155;39.236956108814866;40.64355152342284;39.43936808239904;50.043396202874526;49.47869312864716;45.356919886583185;46.23881561900954;42.929833012680284;45.73329786598053;41.08499081168392;44.947477120831444;43.411454142340936;44.26547849680947;52.05468312822517;43.29867189845082;57.0;43.11500995643712;42.74276001925799;37.33952403550735
1;94;8, Kristalli, Ränilinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50415, Eesti;79505:005:0079;58.3497624;26.68318381868545;6470844.170000003;657076.5600000024;160;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.5;30.299999999999997;7.2;0.0;0.0;0.0;16.5;6.6;16.5;7.2;0.0;0.0;0.0;0.0;0.0;0.0;134.50060529093273;127.28867643360985;116.84622557416841;139.97473541617478;127.34845910467695;96.33713988318745;135.8790325951137;147.17399099663396;127.90849193906679;149.27829620781654;147.27349373461496;112.64998006273949;129.9449021989731;144.11633877746058;172.69140505765853;152.84417170604962;153.33695920775844;143.36362449090885;189.68408384316388;146.29068994423235;139.6507591219809;109.08022599695904;107.95687159354082;160.95387188327103
27;137;66, Peetri, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti;79512:038:0010;58.390288;26.73100433333333;6475427.440000001;659684.9200000018;160;0.0;3.0;50.6;0.0;6.6;28.6;6.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;0.0;44.0;28.6;102.6422094224246;103.17022270781544;93.12863809449344;73.21860026585306;84.75323623039255;101.92718126111004;118.93895739989824;126.3314150537565;134.8721592311999;110.60631830454534;117.2256558069658;152.0;123.93565029165993;118.0169513482623;140.12535397156785;120.09924854576755;109.15929235477577;133.7998691498502;129.7673834352961;128.94175001531008;133.95216290895422;130.90220454820636;117.37576941286456;116.90608089256749
21;187;3a, Ladva, Jaamamõisa, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50705, Eesti;79515:011:0052;58.3816824;26.75914779129724;6474582.010000003;661355.1000000015;100;7.0;10.0;121.7;83.20000000000002;49.5;28.6;23.1;23.7;6.6;29.2;23.1;81.5;90.4;44.1;66.7;65.0;7.2;59.5;20.4;30.3;52.9;16.5;59.5;52.3;22.0;23.1;134.74564912711472;153.27323445309725;106.40733085731979;108.74426212507522;113.93227578168955;84.14812520353551;177.08936865610016;167.39129399100128;135.3016719783472;189.3412338723201;100.2113850780621;174.82839951657508;130.2443440404067;175.37668733230996;157.82299711500607;143.2588256479459;146.85546965558203;169.89438811562098;162.7928034185873;136.11218644891784;155.9438066900537;155.57875083171857;145.08408479123747;146.2666393882231
2;154;16, Teguri, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;79508:020:0022;58.36003050000001;26.726306756410256;6472056.1099999985;659545.7299999967;160;0.0;3.0;35.800000000000004;13.8;6.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.800000000000004;0.0;35.800000000000004;0.0;29.2;36.608760118121936;34.670706164113795;34.50987420641127;44.63466141093264;38.54074863164729;32.687206818565905;51.595049444480104;56.192763648840376;39.859429325823825;43.27151550176549;46.19929101513823;42.44443154163311;46.60229766072304;51.540993608950345;42.62986901498105;38.33791921417377;51.44605062062022;47.422194099985745;39.10767877104339;52.572977426348324;36.72189380792243;48.79788742557689;36.398900219495275;36.32161719086788
36;172;20, Vaba, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50114, Eesti;79508:008:0004;58.36596;26.7264415;6472732.8900000015;659527.4399999976;60;2.0;5.0;21.0;51.2;13.8;6.6;6.6;6.6;6.6;0.0;0.0;23.1;6.6;6.6;0.0;0.0;0.0;0.0;6.6;0.0;28.6;36.4;0.0;7.2;36.4;0.0;31.689873636374273;42.78787449746013;30.573574669290682;31.433071103839442;30.071759842911984;36.35323874138109;41.58969091399906;47.08739777340574;47.843464397786036;48.19324938354205;46.53179827544011;50.259781265051224;45.996619608500616;53.39439996417574;26.9152278651264;38.290100428538544;44.92518372168896;34.10025396936227;36.8555379331023;52.634746429639385;52.214057074621046;42.4592554028215;41.25036127524385;54.524738677421354
34;123;Betooni, Veeriku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50408, Eesti;79501:034:0057;58.38386052408964;26.68983637343997;6474637.129999999;657302.5300000012;160;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.2;16.5;22.0;111.7;67.7;33.0;66.0;40.2;44.0;29.2;51.2;23.7;0.0;0.0;0.0;0.0;0.0;0.0;55.04897903807388;51.728898828604024;55.19474574926024;38.060115344640586;59.285251312800376;64.83385047430386;89.111943226988;85.9046394252009;77.11606985997868;62.44846446247786;94.30432953159873;81.57470922309237;80.32791250319781;80.41340779485719;86.9553786339179;72.67531231612121;84.31830144257485;63.97508921158328;78.27583222818399;88.84328836468137;77.51606807884698;82.62153808644251;74.90179930746544;64.66543095282658
3;144;15, Kanarbiku, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50304, Eesti;79512:047:0004;58.4006022;26.722256130335477;6476574.18;659106.950000003;100;1.0;3.0;49.5;49.5;49.5;0.0;0.0;33.0;0.0;0.0;0.0;22.0;0.0;16.5;16.5;0.0;38.5;0.0;0.0;0.0;16.5;0.0;16.5;0.0;16.5;33.0;54.60939894311779;55.83981699056695;56.269886377351504;40.89925704232812;67.07504847087414;67.00740578486544;83.24055757675092;77.38322685386669;68.41991296238703;79.60528902903242;69.0552920546768;77.7317115060197;77.15833263193119;82.51651107571143;78.4808939629674;78.17136245653667;85.38355035803008;77.26137468139525;71.48534833207188;81.0416913798197;81.20019650917219;77.99219293190814;58.59823171770911;83.95894604214924
33;52;4, Ööbiku, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50404, Eesti;79504:076:0008;58.356141;26.70994265697673;6471610.57;658607.7299999967;60;0.0;2.0;7.2;23.7;16.5;16.5;0.0;7.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.2;16.5;7.2;80.13424032853315;101.4481698378578;88.37639121767167;116.68322561029112;124.6502534060689;79.87836205659613;130.81496930553757;152.0;116.56299294061714;117.88308165954695;97.15135828217802;127.42351746253678;139.09213693787717;124.22210343921653;104.88378480248713;122.28146358767941;133.58930911296466;134.7994987810319;122.45595987676602;102.4635940949892;149.99740826028162;151.8735179153249;109.05427753003354;107.59797736612768
23;157;1, Oa, Supilinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51700, Eesti;79513:011:0001;58.38628605;26.71906131566681;6474986.620000001;658991.6899999976;200;2.0;2.0;13.8;13.8;6.6;0.0;0.0;0.0;0.0;0.0;21.0;51.300000000000004;6.6;23.7;0.0;6.6;23.1;7.2;0.0;30.9;0.0;7.2;7.2;6.6;13.8;0.0;138.54506990706517;84.48956628569698;114.88534992787035;104.62030778919495;113.10255396398013;65.87638330013239;110.67277856176176;134.7696824348954;106.82070343222223;137.1396751472817;128.22219140655278;151.79541101606483;102.3421482193118;122.85492829455143;126.05835966073728;119.07793871293477;107.06423684992308;126.38502826491987;115.22361658321745;80.37120136889541;152.0;130.76581645559963;111.20696703834987;79.48960372761698
