,address,cadaster,latitude,longitude,x,y
42,"3, Punga, Ülejõe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 96039, Eesti",79514:016:0004,58.383174,26.72944704461279,6474656.670000003,659619.1799999997
43,"18, Piima, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50115, Eesti",79510:014:0020,58.349338,26.716109111764712,6470854.809999999,658982.2400000021
44,"Variku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50110, Eesti",79509:015:0010,58.347523684875476,26.700417525210124,6470623.690000001,658086.200000003
45,"7, Elva, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50404, Eesti",79504:047:0014,58.368002,26.711634999999994,6472950.6400000015,658650.3299999982
46,"12, Kesakanni, Ihaste, Veibri küla, Luunja vald, Tartu maakond, 62220, Eesti",79517:039:0006,58.343825,26.77870453174603,6470414.5,662680.049999997
47,"16, Kuldnoka, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50404, Eesti",79504:076:0016,58.356668600000006,26.710374463313943,6471660.449999998,658622.9399999976
48,"65, Kruusamäe, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50304, Eesti",79512:048:0064,58.399589899999995,26.71834387687225,6476461.370000001,658897.8100000024
49,"9, Ilmatari, Tähtvere, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51006, Eesti",79501:019:0007,58.37951315,26.699598171501073,6474180.18,657886.5900000036
50,"12, Oksa, Jaamamõisa, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50705, Eesti",79301:001:0158,58.382051,26.76187,6474611.489999997,661477.6000000015
51,"4A, Sepakuru, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 96187, Eesti",79510:024:0020,58.34970799999999,26.72215407395787,6470930.34,659338.9699999988
52,"52, Tähe, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50103, Eesti",79508:030:0003,58.3676155,26.73033627680729,6472939.8500000015,659733.7700000033
53,"13, Tamme pst, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50403, Eesti",79504:041:0020,58.36493895,26.70866815000001,6472577.809999999,658494.2400000021
54,"130b, Riia, Maarjamõisa, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50417, Eesti",79504:052:0008,58.359291500000005,26.690133823628454,6471917.469999999,657458.6799999997
55,"11, Tammekuru, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50404, Eesti",79504:045:0014,58.361928000000006,26.71201587012987,6472259.969999999,658691.9299999997
56,"11, Vikerkaare, Tähtvere, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50409, Eesti",79501:010:0010,58.3841035,26.702787451082248,6474684.010000003,658042.3599999994
57,"72A, Jaama, Jaamamõisa, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50605, Eesti",79515:005:0011,58.3819195,26.750102530448718,6474550.699999998,660837.549999997
58,"46, Kungla, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50404, Eesti",79504:051:0029,58.360764,26.71509896152554,6472140.23,658873.4699999988
59,"48c/6, Raudtee, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50413, Eesti",79504:089:0070,58.353026,26.7027315,6471237.3900000015,658188.8299999982
60,"70a/5, Anne, Annelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50703, Eesti",79516:018:0204,58.377363100000004,26.76021081077967,6474063.039999999,661437.2100000009
61,"Ihaste, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti",79517:028:0013,58.34627015785695,26.771362404683124,6470654.829999997,662239.3599999994
62,"70d/1, Anne, Annelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50703, Eesti",79516:018:0185,58.37728825,26.760460268917534,6474082.460000001,661457.3900000006
63,"5, Tüürimehe, Ülejõe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51017, Eesti",79514:037:0061,58.40350110000001,26.69413765335834,6476824.539999999,657485.2400000021
64,"2, Pintsli, Ihaste, Tartu linn, Tartu, Tartu linn, Tartu maakond, 62207, Eesti",79517:073:0013,58.35927635,26.79247278892315,6472168.960000001,663411.450000003
65,"70d/26, Anne, Annelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50703, Eesti",79516:018:0059,58.37731845,26.7610442648515,6474091.800000002,661491.8800000027
66,"41, Mäe, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti",79512:039:0004,58.389394,26.73440200000001,6475352.620000001,659891.25
67,"43a, Kesk, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50114, Eesti",79508:015:0012,58.36271850000001,26.7247605,6472361.3999999985,659437.8800000027
68,"7, Andrus Johani, Ihaste, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti",79517:051:0016,58.358306000000006,26.77950533490566,6472030.170000003,662675.4299999997
69,"14, Piiri, Supilinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51007, Eesti",79513:003:0016,58.388746,26.708516180327862,6475243.6499999985,658367.4299999997
70,"51, Pikk, Ülejõe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50603, Eesti",79514:022:0025,58.381366799999995,26.735710838636365,6474457.129999999,659981.9699999988
71,"2, Käbi, Jaamamõisa, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50705, Eesti",79515:018:0035,58.38045699999999,26.760953499999996,6474451.550000002,661457.6300000027
72,"1, Side, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50111, Eesti",79508:015:0007,58.36304200000001,26.721763691067,6472399.300000002,659272.0300000012
73,"36, Tammetõru, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50414, Eesti",79504:084:0007,58.3495315,26.69539864130435,6470793.23,657771.9399999976
74,"52, Võru, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50108, Eesti",79508:001:0003,58.3707845,26.722722675458716,6473273.57,659275.1199999973
75,"14, Räägu, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50414, Eesti",79501:002:0504,58.35165355,26.700336327127662,6471091.989999997,658072.1899999976
76,"6, Kannikese, Veeriku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50408, Eesti",79502:010:0020,58.3718735,26.681851708502027,6473284.98,656906.6899999976
77,"5/6, Malmi, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51004, Eesti",79508:047:0032,58.3706017,26.736194642173913,6473274.82,660069.0300000012
78,"25, Ööbiku, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50404, Eesti",79504:072:0010,58.3590255,26.705943667254896,6471913.68,658356.7299999967
79,"40, Pallase pst, Ihaste, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti",79517:055:0007,58.3588735,26.786185544024825,6472091.1099999985,663046.7700000033
80,"30, Kesk kaar, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50404, Eesti",79504:041:0022,58.364775,26.705180368452385,6472550.129999999,658292.6599999964
81,"5, Hando Mugasto, Ihaste, Veibri küla, Luunja vald, Tartu maakond, 51011, Eesti",79517:065:0002,58.3565545,26.788303283536592,6471853.550000002,663185.2400000021
82,"12, Kasarmu, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti",79512:037:0005,58.3892035,26.73920683333333,6475347.629999999,660152.9699999988
83,"90, Ujula, Ülejõe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51008, Eesti",79514:001:0058,58.39119350000001,26.71689937679211,6475506.239999997,658855.25
84,"4, Soinaste, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50405, Eesti",79504:115:0008,58.363656000000006,26.699328499999996,6472417.079999997,657947.2899999991
