,address,cadaster,latitude,longitude,x,y,max_current
190,"37, Sepavälja, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50112, Eesti",79510:029:0009,58.346994499999994,26.716482334301077,6470589.3500000015,658967.8900000006,100
97,"1, Vilja, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50304, Eesti",79512:008:0022,58.3998965,26.72819650000001,6476510.120000001,659472.5,100
157,"1, Oa, Supilinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51700, Eesti",79513:011:0001,58.38628605,26.71906131566681,6474986.620000001,658991.6899999976,200
138,"Juure, Jaamamõisa, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50705, Eesti",79301:001:0342,58.38325334486561,26.764144106876696,6474748.690000001,661646.7199999988,100
186,"37, Voolu, Variku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50115, Eesti",79509:019:0001,58.34661750000001,26.70265,6470545.1400000015,658217.0300000012,100
29,"8, Sirbi kaar, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50112, Eesti",79510:035:0012,58.35404250000001,26.72585975,6471417.25,659540.1899999976,160
137,"66, Peetri, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti",79512:038:0010,58.390288,26.73100433333333,6475427.440000001,659684.9200000018,160
173,"88, Kalevi, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51013, Eesti",79508:053:0001,58.36716300000001,26.734607727883887,6472878.949999998,659988.0399999991,100
194,"2a, Lubja, Ülejõe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50303, Eesti",79301:001:0749,58.39019575,26.716788361804,6475398.260000003,658858.0799999982,100
55,"14, Küütri, Kesklinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 53007, Eesti",79507:015:0001,58.38132885,26.72267310648789,6474432.620000001,659233.6899999976,100
105,"16, Pallase pst, Ihaste, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti",79517:053:0014,58.35912775,26.7821625,6472095.690000001,662802.049999997,60
115,"21, Kopli, Variku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50115, Eesti",79509:013:0018,58.348795,26.707048799157306,6470765.1000000015,658458.1000000015,60
52,"4, Ööbiku, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50404, Eesti",79504:076:0008,58.356141,26.709942656976732,6471610.57,658607.7299999967,60
123,"Betooni, Veeriku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50408, Eesti",79501:034:0057,58.38386052408964,26.68983637343997,6474637.129999999,657302.5300000012,160
103,"59B, Jalaka, Ropka tööstusrajoon, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50109, Eesti",79510:033:0012,58.346659499999994,26.722654,6470566.420000003,659376.7199999988,100
174,"10, Salutähe, Ihaste, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti",79517:005:0020,58.353122,26.765398966666666,6471400.129999999,661852.2400000021,200
172,"20, Vaba, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50114, Eesti",79508:008:0004,58.36596,26.726441499999996,6472732.8900000015,659527.4399999976,60
